iter	Logloss
0	0.6876939748
1	0.6823202169
2	0.6781862134
3	0.672306301
4	0.666134929
5	0.6610528421
6	0.6564158957
7	0.6509428595
8	0.6458499016
9	0.6411285138
10	0.6366420816
11	0.6339530603
12	0.6313158355
13	0.6261987227
14	0.6220243558
15	0.6173892295
16	0.614977131
17	0.6103626335
18	0.6061877773
19	0.6039213458
20	0.5992957256
21	0.5955823663
22	0.5908528532
23	0.5869341633
24	0.5828911324
25	0.5797745425
26	0.5758416428
27	0.5726340044
28	0.5695884563
29	0.5675089854
30	0.5638194138
31	0.561085877
32	0.558419878
33	0.5548073421
34	0.5519426231
35	0.5494902447
36	0.5479560983
37	0.5450277662
38	0.5435573926
39	0.5405227553
40	0.5382379999
41	0.5357592855
42	0.5344154175
43	0.5317992043
44	0.5295341138
45	0.5272923813
46	0.5247199311
47	0.5221913471
48	0.5200011046
49	0.5179263471
50	0.5150534244
51	0.5129781002
52	0.5116135667
53	0.5094119852
54	0.5070160301
55	0.5048001505
56	0.5023918066
57	0.5010687212
58	0.4993139913
59	0.4969853701
60	0.4959371949
61	0.4942118015
62	0.4928588562
63	0.4920078657
64	0.489594138
65	0.4886823214
66	0.4878834086
67	0.4860377918
68	0.4846268726
69	0.4831120571
70	0.4818678767
71	0.4803688033
72	0.4796659124
73	0.4788734033
74	0.4774977608
75	0.4762227781
76	0.4750770627
77	0.4730965506
78	0.4714380898
79	0.4696312668
80	0.4680868019
81	0.4665680643
82	0.4655021348
83	0.4644145997
84	0.4630456072
85	0.461864248
86	0.4613437515
87	0.4598175169
88	0.4586194205
89	0.4572115991
90	0.4561699623
91	0.4549610326
92	0.4532645014
93	0.4524691037
94	0.451299791
95	0.4502584691
96	0.4494124739
97	0.4490025432
98	0.4486003714
99	0.4471290583
100	0.4459855153
101	0.445109201
102	0.4441741569
103	0.4427787098
104	0.441562877
105	0.4410498881
106	0.4397574501
107	0.4386366183
108	0.4375894526
109	0.4368214409
110	0.4357416353
111	0.4347013332
112	0.4340521247
113	0.4333594125
114	0.4328634992
115	0.4325833055
116	0.4313690464
117	0.4309285975
118	0.4304747144
119	0.4297421378
120	0.4292533063
121	0.4281743907
122	0.4277651735
123	0.4271489965
124	0.4268285082
125	0.4264220879
126	0.4260069327
127	0.4257877742
128	0.4248135958
129	0.4241089577
130	0.4238513872
131	0.4233136786
132	0.4232544494
133	0.4221903555
134	0.4219952275
135	0.4211111236
136	0.4208996787
137	0.4205760372
138	0.4199425256
139	0.4198903154
140	0.4196797449
141	0.4191076792
142	0.4187048461
143	0.4178908396
144	0.4173937386
145	0.4169734156
