iter	Passed	Remaining
0	72	71932
1	129	64698
2	193	64212
3	275	68492
4	334	66586
5	392	64964
6	472	66994
7	539	66882
8	632	69695
9	702	69509
10	791	71184
11	820	67573
12	849	64496
13	938	66125
14	1021	67091
15	1092	67189
16	1115	64521
17	1183	64553
18	1252	64686
19	1299	63692
20	1377	64232
21	1468	65273
22	1558	66185
23	1635	66511
24	1715	66901
25	1760	65939
26	1817	65502
27	1883	65386
28	1970	65984
29	2020	65313
30	2107	65870
31	2151	65078
32	2204	64592
33	2283	64866
34	2353	64888
35	2431	65118
36	2457	63952
37	2575	65198
38	2598	64035
39	2674	64199
40	2709	63382
41	2851	65031
42	2891	64359
43	2992	65027
44	3140	66644
45	3232	67040
46	3329	67509
47	3418	67796
48	3542	68758
49	3742	71099
50	3860	71827
51	3952	72050
52	4043	72257
53	4212	73802
54	4298	73852
55	4400	74174
56	4496	74392
57	4536	73674
58	4615	73610
59	4707	73751
60	4748	73101
61	4834	73134
62	4912	73070
63	4945	72322
64	5066	72879
65	5110	72319
66	5134	71506
67	5207	71379
68	5316	71737
69	5463	72580
70	5592	73177
71	5667	73053
72	5693	72296
73	5743	71871
74	5816	71738
75	5936	72179
76	6031	72295
77	6121	72362
78	6220	72516
79	6305	72511
80	6455	73240
81	6540	73220
82	6643	73401
83	6715	73231
84	6804	73247
85	6934	73704
86	6962	73062
87	7038	72940
88	7113	72809
89	7187	72671
90	7260	72522
91	7324	72290
92	7392	72094
93	7447	71782
94	7523	71672
95	7598	71557
96	7652	71239
97	7676	70651
98	7706	70136
99	7778	70006
100	7853	69902
101	7909	69631
102	7984	69530
103	8054	69393
104	8135	69346
105	8231	69421
106	8308	69343
107	8374	69169
108	8444	69028
109	8502	68795
110	8561	68572
111	8627	68401
112	8738	68595
113	8822	68570
114	8893	68443
115	8918	67961
116	8993	67870
117	9052	67665
118	9095	67336
119	9177	67301
120	9264	67304
121	9387	67558
122	9450	67382
123	9525	67295
124	9571	66999
125	9636	66846
126	9703	66700
127	9734	66316
128	9815	66270
129	9883	66144
130	9948	65993
131	10029	65951
132	10043	65474
133	10115	65376
134	10141	64982
135	10221	64938
136	10303	64905
137	10359	64706
138	10450	64731
139	10465	64289
140	10500	63973
141	10572	63879
142	10636	63746
143	10707	63652
144	10788	63613
145	10867	63565
146	10934	63447
147	11011	63391
148	11092	63355
149	11163	63257
150	11228	63134
151	11241	62715
152	11307	62599
153	11373	62482
154	11404	62171
155	11470	62056
156	11540	61964
157	11589	61763
158	11638	61561
159	11663	61233
160	11737	61166
161	11807	61078
162	11886	61037
163	12022	61285
164	12136	61420
165	12355	62074
166	12473	62219
167	12595	62375
168	12840	63139
169	12967	63314
170	13083	63430
171	13224	63661
172	13385	63987
173	13490	64042
174	13600	64114
175	13875	64960
176	14162	65851
177	14368	66352
178	14732	67573
179	15191	69204
180	15449	69906
181	15621	70211
182	15772	70414
183	15961	70784
184	16104	70944
185	16265	71184
186	16470	71606
187	16718	72207
188	16848	72298
189	17041	72650
190	17202	72862
191	17347	73004
192	17653	73816
193	17796	73939
194	18032	74443
195	18301	75074
196	18443	75179
197	18573	75232
198	18729	75390
